"Advent","https://login.advent.com/","{\"learned_xpath_username\":\"#Email\",\"learned_doc_id_username\":\"-1\",\"learned_xpath_password\":\"#Password\",\"learned_doc_id_password\":\"-1\",\"learned_xpath_click\":\"#loginbutton\",\"learned_doc_id_click\":\"-1\"}"
"Brandworkz","https://brandworkz.zendesk.com/access/unauthenticated#login","{\"learned_xpath_username\":\"#user_email\",\"learned_doc_id_username\":\"0\",\"learned_xpath_password\":\"#user_password\",\"learned_doc_id_password\":\"0\",\"learned_xpath_click\":\"INPUT[class\\u003d\\u0027button primary\\u0027][name\\u003d\\u0027commit\\u0027][type\\u003d\\u0027submit\\u0027]\",\"learned_doc_id_click\":\"0\"}"
