"Brandworkz","https://brandworkz.zendesk.com/access/unauthenticated#login","{\"learned_xpath_username\":\"#user_email\",\"learned_doc_id_username\":\"0\",\"learned_xpath_password\":\"#user_password\",\"learned_doc_id_password\":\"0\",\"learned_xpath_click\":\"INPUT[class\\u003d\\u0027button primary\\u0027][name\\u003d\\u0027commit\\u0027][type\\u003d\\u0027submit\\u0027]\",\"learned_doc_id_click\":\"0\"}"
"Acumatica","https://sso.acumatica.com/Frames/Login.aspx","{\"learned_xpath_username\":\"INPUT[type\\u003d\\u0027text\\u0027][class\\u003d\\u0027login_user border-box\\u0027][placeholder\\u003d\\u0027My Username\\u0027]\",\"learned_doc_id_username\":\"-1\",\"learned_xpath_password\":\"INPUT[type\\u003d\\u0027password\\u0027][class\\u003d\\u0027login_pass border-box\\u0027][placeholder\\u003d\\u0027My Password\\u0027]\",\"learned_doc_id_password\":\"-1\",\"learned_xpath_click\":\"#btnLogin\",\"learned_doc_id_click\":\"-1\"}"
