"11Giraffes","https://manage.11giraffes.com/","{\"learned_xpath_password_xpath\": \"/html/body/form/div[2]/div[6]/div/table/tbody/tr[1]/td/div/table/tbody/tr[1]/td/table/tbody/tr[4]/td/input\", \"learned_xpath_username_xpath\": \"/html/body/form/div[2]/div[6]/div/table/tbody/tr[1]/td/div/table/tbody/tr[1]/td/table/tbody/tr[2]/td/input\", \"learned_xpath_username\": \"#ctl00_ContentPlaceHolder1_LoginView1_Login1_UserName\", \"learned_doc_id_username\": \"-1\", \"learned_xpath_click_xpath\": \"/html/body/form/div[2]/div[6]/div/table/tbody/tr[1]/td/div/table/tbody/tr[1]/td/table/tbody/tr[7]/td/input\", \"learned_xpath_click\": \"#ctl00_ContentPlaceHolder1_LoginView1_Login1_LoginButton\", \"learned_doc_id_password\": \"-1\", \"learned_doc_id_click\": \"-1\", \"learned_xpath_password\": \"#ctl00_ContentPlaceHolder1_LoginView1_Login1_Password\"}"
"AccuConference","https://www.yourconferencecenter.com/accuconference/index.html","{\"learned_xpath_click\": \"INPUT[type\\u003d\\u0027submit\\u0027][class\\u003d\\u0027submitButton\\u0027][name\\u003d\\u0027submit\\u0027]\", \"learned_xpath_password\": \"#txtPassword\", \"learned_xpath_username\": \"#txtLoginName\"}"
"AccuLynx","https://my.acculynx.com/signin","{\"learned_xpath_click\": \"BUTTON[class\\u003d\\u0027button button-solid\\u0027][tabindex\\u003d\\u00274\\u0027]\", \"learned_xpath_password\": \"#Password\", \"learned_xpath_username\": \"#Email\"}"
"Achieve3000","https://www.mykplan.com/sponsorsecure_net/login.aspx","{\"learned_xpath_click\": \"#_ctl0_PageContent_Submit1\", \"learned_xpath_password\": \"INPUT[type\\u003d\\u0027password\\u0027][placeholder\\u003d\\u0027Password\\u0027][maxlength\\u003d\\u002725\\u0027][name\\u003d\\u0027PIN\\u0027][autocomplete\\u003d\\u0027off\\u0027][data-role\\u003d\\u0027none\\u0027]\", \"learned_xpath_username\": \"#txtUserID\"}"
"Act-On Software","https://www.actonsoftware.com/acton/account/login.jsp","{\"learned_xpath_click\": \"#loginbutton\", \"learned_xpath_password\": \"#pw\", \"learned_xpath_username\": \"#login\"}"
"ActionHRM","http://www.actionhrm.com/user","{\"learned_xpath_click\": \"#edit-submit\", \"learned_xpath_password\": \"#edit-pass\", \"learned_xpath_username\": \"#edit-name\"}"
"Active Network","https://www.active.com/page/Login_to_Active_com/","{\"learned_xpath_click\": \"#ctl09_btnLogin\", \"learned_xpath_password\": \"#ctl09_txtPassword\", \"learned_xpath_username\": \"#ctl09_txtEmailAddress\"}"
"Active Network Giving","https://www.active.com/donations/login/","{\"learned_xpath_click\": \"#login\", \"learned_xpath_password\": \"#user_password\", \"learned_xpath_username\": \"#user_username\"}"
"Active Works (Active Network)","https://activeworks.active.com/login.faces","{\"learned_xpath_click\": \"#submit\", \"learned_xpath_password\": \"#Password\", \"learned_xpath_username\": \"#UserName\"}"
"ActiveConversion","https://www.activeconversion.com/console/login.jsp","{\"learned_xpath_click\": \"INPUT[type\\u003d\\u0027submit\\u0027][name\\u003d\\u0027login\\u0027]\", \"learned_xpath_password\": \"#j_password\", \"learned_xpath_username\": \"#j_username\"}"
"Acumatica","https://sso.acumatica.com/Frames/Login.aspx","{\"learned_xpath_password_xpath\": \"/html/body/form/div[4]/div/div[3]/input[8]\", \"learned_xpath_username_xpath\": \"/html/body/form/div[4]/div/div[3]/input[4]\", \"learned_xpath_username\": \"#txtUser5318\", \"learned_doc_id_username\": \"-1\", \"learned_xpath_click_xpath\": \"/html/body/form/div[4]/div/div[3]/input[11]\", \"learned_xpath_click\": \"#btnLogin\", \"learned_doc_id_password\": \"-1\", \"learned_doc_id_click\": \"-1\", \"learned_xpath_password\": \"#txtPass5318\"}"
